rpm,torque,efficiency
304.706886,2.826854962,78
1846.820719,2.544168387,78
1950.867077,2.614844075,78
2047.481389,2.826854962,78
2103.220449,2.897525257,78
2177.539195,2.614844075,78
2240.710299,2.68551437,78
2315.029044,2.68551437,78
2374.483984,2.68551437,78
2426.507163,2.614844075,78
2485.962103,2.756184666,78
2567.71261,2.756184666,78
2630.883714,2.756184666,78
2679.190729,2.68551437,78
2842.692026,2.826854962,78
2749.793594,2.968200945,78
2783.237086,2.826854962,78
2890.999324,2.826854962,78
2946.738383,2.826854962,78
3017.340965,2.826854962,78
3102.807636,2.826854962,78
3225.43368,2.544168387,78
3173.410501,2.826854962,78
3270.024814,2.68551437,78
3307.184187,2.68551437,78
3366.639127,2.614844075,78
3440.957873,2.544168387,78
3526.424544,2.756184666,78
3615.606812,2.544168387,78
3727.084931,2.614844075,78
3823.699527,2.473498092,78
3942.609407,2.402827796,78
4046.655764,2.402827796,78
4143.27036,2.68551437,78
4251.032315,2.897525257,78
4388.521881,2.968200945,78
4455.408866,2.968200945,78
4466.556791,4.240282443,78
4355.078673,4.240282443,78
3834.847452,3.392228111,78
3734.517259,3.392228111,78
3790.256318,3.392228111,78
3775.392229,2.968200945,78
3868.290661,2.614844075,78
3909.166198,3.392228111,78
3979.76878,3.462898406,78
3990.916705,2.544168387,78
4039.224003,3.533568702,78
4087.531301,3.533568702,78
4091.246898,2.756184666,78
4146.985958,3.321557815,78
4195.293256,3.109541536,78
4284.475524,3.604238998,78
4355.078673,3.392228111,78
4299.339613,2.968200945,78
4329.067225,2.756184666,78
3667.630274,2.826854962,78
3567.300081,2.756184666,78
3481.83341,2.897525257,78
3058.216502,3.038871241,78
2526.837356,2.756184666,78
1995.458211,2.756184666,78
2136.663941,2.826854962,78
884.3930464,36.89045644,78
516.5151981,24.16961046,78
475.6399446,22.33215582,78
457.0602582,21.2720852,78
810.0743006,34.77031522,78
873.2452629,38.16254333,83
847.2336735,37.45582959,83
836.08589,36.67844421,83
817.5062035,35.75971688,83
791.4946142,34.3462894,83
769.1990471,33.85158925,83
791.4946142,35.05300314,83
754.3352413,33.63957566,83
732.0396742,32.22614818,83
735.7555548,32.93286192,83
717.1758684,31.66077773,83
687.4483984,30.74204906,83
665.1526896,29.68197845,83
642.8571226,28.83392277,83
624.2774362,27.63250887,83
564.8224962,24.02826987,83
605.6977497,25.79505422,83
594.5499662,24.8763242,83
613.1296526,26.71378155,83
538.8109069,22.68551269,83
486.7877281,19.71731444,83
516.5151981,21.55477178,83
479.3558252,18.30388696,83
468.2080417,17.03180276,83
527.6631234,20.63604176,83
457.0602582,16.04240245,83
438.4805717,14.84098855,83
434.7646911,14.1342775,83
371.5937289,12.86219062,83
412.4689824,13.35689077,83
353.0140424,11.94346329,83
341.8662589,11.16607926,83
338.1502366,10.45936552,83
300.9908637,9.399294904,83
274.9792743,8.692581164,83
241.5359238,7.42049697,83
196.944648,5.795053211,83
196.944648,4.028271556,83
245.2518044,4.028271556,83
312.1386472,3.604238998,83
356.729923,3.533568702,83
408.7531018,3.462898406,83
267.5475131,4.240282443,83
222.9562373,6.148410081,83
245.2518044,6.784448134,83
222.9562373,5.088342166,83
479.3558252,3.462898406,83
553.674571,3.250882128,83
501.651534,2.826854962,83
579.6861603,2.897525257,83
642.8571226,2.968200945,83
706.0280849,2.968200945,83
438.4805717,2.756184666,83
405.0370794,2.68551437,83
341.8662589,2.968200945,83
746.9033383,2.614844075,83
802.6423977,3.250882128,83
865.8133599,3.038871241,83
958.7119339,3.109541536,83
1062.758008,3.180211832,83
1133.360873,3.250882128,83
1222.543425,3.321557815,83
1252.270753,3.038871241,83
1412.05617,3.321557815,83
1508.670483,3.321557815,83
1571.841587,3.321557815,83
1635.012407,3.392228111,83
1735.3426,2.968200945,83
1813.37751,3.533568702,83
1880.264211,3.604238998,83
1973.162644,3.745584981,83
2043.765509,3.392228111,83
2099.504568,3.745584981,83
2147.811866,3.816255277,83
2222.130612,3.886925572,83
2289.017313,4.028271556,83
2363.336059,3.957595868,83
2415.359238,3.957595868,83
2474.814178,3.957595868,83
2530.553237,4.169612147,83
2601.156102,4.028271556,83
2701.486296,4.098941851,83
2816.680578,4.381628426,83
2939.306339,4.381628426,83
3087.94383,4.310952738,83
3210.569874,4.169612147,83
3329.479754,4.310952738,83
3433.526112,4.310952738,83
3515.276618,4.452298721,83
3645.334424,4.593639313,83
3775.392229,4.522969017,83
3938.89381,4.876325887,83
4035.507839,4.593639313,83
4180.429733,4.734985296,83
4243.600554,4.734985296,83
4340.214583,4.734985296,83
4421.965657,4.876325887,83
4388.521881,4.664309608,83
4451.692702,4.946996183,83
4303.05521,4.664309608,83
4150.702122,4.805655592,83
4109.826585,4.734985296,83
3972.337018,4.522969017,83
4080.098973,4.876325887,83
3924.02972,4.593639313,83
3872.006825,4.522969017,83
3864.575064,5.088342166,83
3816.267766,4.381628426,83
3738.232856,4.452298721,83
3730.801095,4.805655592,83
3693.641722,4.240282443,83
3597.027125,4.452298721,83
3567.300081,4.310952738,83
3485.549007,4.381628426,83
3388.934977,4.381628426,83
3284.88862,4.169612147,83
3195.706068,4.240282443,83
3251.445128,4.381628426,83
3151.114934,4.452298721,83
3110.239397,4.310952738,83
3039.636816,4.310952738,83
3006.193323,4.310952738,83
2983.897756,4.169612147,83
2909.579011,4.169612147,83
2868.703474,4.098941851,83
2794.384728,4.098941851,83
2720.065982,4.098941851,83
2790.668847,4.452298721,83
2649.4634,4.028271556,83
2552.848804,3.886925572,83
2415.359238,3.674914685,83
2274.153507,3.392228111,83
2147.811866,3.392228111,83
1958.298838,3.180211832,83
1872.83245,3.180211832,83
1802.229585,3.180211832,83
1772.501973,3.180211832,83
1538.398094,3.321557815,83
1516.102527,2.756184666,83
1464.079348,3.038871241,83
1319.157738,3.109541536,83
1389.760603,3.109541536,83
1449.215543,3.038871241,83
1679.603541,3.250882128,83
1869.11657,3.392228111,83
1921.139465,3.886925572,83
2014.037897,3.109541536,83
1928.57151,3.109541536,83
2218.414448,3.038871241,83
2147.811866,3.038871241,83
2073.493121,3.038871241,83
1185.384052,2.897525257,83
1137.076754,2.544168387,83
1021.882754,2.968200945,83
902.9727328,3.038871241,83
769.1990471,3.180211832,83
646.5730032,3.180211832,83
561.1064739,2.897525257,83
2326.176686,3.250882128,83
2389.34779,3.109541536,83
2471.098297,3.250882128,83
2638.315475,2.897525257,83
2786.952967,3.321557815,83
2545.417043,3.180211832,83
2582.576416,3.038871241,83
2705.20246,3.250882128,83
2753.509474,3.674914685,83
2173.823314,3.250882128,83
2103.220449,2.897525257,83
2259.289985,3.180211832,83
2515.689431,3.957595868,83
1114.781187,34.69964627,83
1107.349425,33.49823237,83
1025.598635,30.60070712,83
1099.917381,31.80211967,83
1159.372321,32.93286192,83
981.0075009,30.10600696,83
940.1322475,29.04593635,83
1062.758008,31.87279131,83
928.9843222,28.55123754,83
884.3930464,27.84452245,83
865.8133599,27.13780871,83
832.3698676,25.58303794,83
806.35842,24.59364032,83
735.7555548,22.89752627,83
471.924064,14.98233184,83
531.3790039,16.18374573,83
579.6861603,17.31448934,83
616.8455332,18.16254367,83
642.8571226,19.57597115,83
661.4368091,20.35335788,83
683.7323761,21.20141491,83
713.4599878,21.83745566,83
761.7671442,23.46289672,83
839.8017706,26.64310855,83
1066.473888,35.68904524,83
1036.74656,36.39575898,83
962.4278145,37.31448765,83
914.1205163,38.02120139,83
995.8713068,36.60777391,83
1007.018949,35.90106017,83
1059.042127,34.84098956,83
1081.337694,33.78091895,83
1036.74656,32.72084834,83
1007.018949,31.51943444,83
999.5871874,31.4487628,83
947.5640086,30.60070712,83
917.8365387,29.75265009,83
895.5408299,29.18727964,83
862.0974793,28.62190784,83
832.3698676,27.91519544,83
791.4946142,27.42049529,83
769.1990471,26.43109497,83
769.1990471,25.86572452,83
750.6193607,25.01766749,83
720.891749,24.16961046,83
683.7323761,23.39222643,83
